Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ENFP,Extravert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Communication Disorders,ENTJ,Extravert,Intuitive,Thinking,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,Sensing,Feeling,Judging,4,,Pre-Sum14
Female,Communication Disorders,ESFP,Extravert,Sensing,Feeling,Perceiving,5,,Pre-Sum14
Female,Communication Disorders,ESTJ,Extravert,Sensing,Thinking,Judging,4,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,INFP,Introvert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Communication Disorders,INFP,Introvert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Female,Communication Disorders,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Communication Disorders,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Communication Disorders,INTP,Introvert,Intuitive,Thinking,Perceiving,4,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISTJ,Introvert,Sensing,Thinking,Judging,4,,Pre-Sum14
Female,Communication Disorders,ISTP,Introvert,Sensing,Thinking,Perceiving,7,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENFP,Extravert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,4,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,Sensing,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFP,Extravert,Sensing,Feeling,Perceiving,6,,Pre-Sum14
