state,1970,1980
 California,19953134,23667902
 New York,18236967,17558072
 Texas,11196730,14229191
 Pennsylvania,11793909,11863895
 Illinois,11113976,11426518
 Ohio,10652017,10797630
 Florida,6789443,9746324
 Michigan,8875083,9262078
 New Jersey,7168164,7364823
 North Carolina,5082059,5881766
 Massachusetts,5689170,5737037
 Indiana,5193669,5490224
 Georgia,4589575,5463105
 Virginia,4668494,5346818
 Missouri,4676501,4916686
 Wisconsin,4417731,4705767
 Tennessee,3923687,4591120
 Maryland,3922399,4216975
 Louisiana,3641306,4205900
 Washington,3409169,4132156
 Minnesota,3804971,4075970
 Alabama,3444165,3893888
 Kentucky,3218706,3660777
 South Carolina,2590516,3121820
 Connecticut,3031709,3107576
 Oklahoma,2559229,3025290
 Iowa,2824376,2913808
 Colorado,2207259,2889964
 Arizona,1745944,2718215
 Oregon,2091533,2633105
 Mississippi,2216192,2520638
 Kansas,2246578,2363679
 Arkansas,1923295,2286435
 West Virginia,1744237,1949644
 Nebraska,1483493,1569825
 Utah,1059273,1461037
 New Mexico,1017055,1302894
 Maine,992048,1124660
 Hawaii,769913,964691
 Rhode Island,946725,947154
 Idaho,712567,943935
 New Hampshire,737681,920610
 Nevada,488738,800493
 Montana,694409,786690
 South Dakota,665507,690768
 North Dakota,617761,652717
 District of Columbia,756510,638333
 Delaware,548104,594338
 Vermont,444330,511456
 Wyoming,332416,469557
 Alaska,300382,401851
